NAME,High_med_inc,state,place,City_x,State,City_y,Latitude,Longitude,Store Count,Bar Count
"Ontario city, California",79129,6,53896,Ontario city,California,"Ontario city, California",34.06550645,-117.64817965,1.0,12.0
"Orange city, California",105572,6,53980,Orange city,California,"Orange city, California",28.9488761,-81.2986741,0.0,4.0
"Oxnard city, California",84941,6,54652,Oxnard city,California,"Oxnard city, California",34.195054,-119.180285,0.0,3.0
"Palmdale city, California",90330,6,55156,Palmdale city,California,"Palmdale city, California",34.5791566,-118.1161835,0.0,0.0
"Palo Alto city, California",179707,6,55282,Palo Alto city,California,"Palo Alto city, California",37.904037,-122.527867,0.0,11.0
"Pasadena city, California",95134,6,56000,Pasadena city,California,"Pasadena city, California",34.163831,-118.15674553889411,0.0,20.0
"Perris city, California",80234,6,56700,Perris city,California,"Perris city, California",33.7875193,-117.2278144,0.0,0.0
"Pittsburg city, California",88842,6,57456,Pittsburg city,California,"Pittsburg city, California",38.01995264999999,-121.891591113019,0.0,1.0
"Pleasanton city, California",183969,6,57792,Pleasanton city,California,"Pleasanton city, California",37.669437,-121.885889,0.0,7.0
"Pomona city, California",77609,6,58072,Pomona city,California,"Pomona city, California",34.0546164,-117.7511326,1.0,6.0
"Rancho Cordova city, California",82178,6,59444,Rancho Cordova city,California,"Rancho Cordova city, California",35.158973,-115.173552,0.0,0.0
"Rancho Cucamonga city, California",108345,6,59451,Rancho Cucamonga city,California,"Rancho Cucamonga city, California",34.102291300000005,-117.54795804853929,0.0,7.0
"Redlands city, California",92787,6,59962,Redlands city,California,"Redlands city, California",34.0653727,-117.20921518389368,0.0,7.0
"Redondo Beach city, California",140786,6,60018,Redondo Beach city,California,"Redondo Beach city, California",33.686949,-116.190992,0.0,2.0
"Redwood City city, California",137512,6,60102,Redwood City city,California,"Redwood City city, California",37.4863239,-122.232523,0.0,16.0
"Rialto city, California",85585,6,60466,Rialto city,California,"Rialto city, California",34.07869555,-117.36810710058388,0.0,1.0
"Richmond city, California",88594,6,60620,Richmond city,California,"Richmond city, California",6.0562552,80.2214601,0.0,10.0
"Riverside city, California",81228,6,62000,Riverside city,California,"Riverside city, California",33.949274,-117.36368,3.0,10.0
"Rocklin city, California",119436,6,62364,Rocklin city,California,"Rocklin city, California",38.8093779,-121.21381736752176,1.0,9.0
"Roseville city, California",100739,6,62938,Roseville city,California,"Roseville city, California",38.74833965,-121.28393826953815,0.0,8.0
"Sacramento city, California",80254,6,64000,Sacramento city,California,"Sacramento city, California",38.5409665,-121.4884709227681,1.0,20.0
"Salinas city, California",80560,6,64224,Salinas city,California,"Salinas city, California",34.23255445,-118.62719904185332,0.0,10.0
"San Buenaventura (Ventura) city, California",100073,6,65042,San Buenaventura (Ventura) city,California,"San Buenaventura (Ventura) city, California",34.2783355,-119.293174,0.0,3.0
"San Diego city, California",100010,6,66000,San Diego city,California,"San Diego city, California",32.8636997,-117.211625,1.0,20.0
"San Francisco city, California",136692,6,67000,San Francisco city,California,"San Francisco city, California",37.7987456,-122.46458892410745,0.0,20.0
"San Jose city, California",133835,6,68000,San Jose city,California,"San Jose city, California",34.825117,-114.598742,0.0,0.0
"San Leandro city, California",92651,6,68084,San Leandro city,California,"San Leandro city, California",37.7299769,-122.469346,0.0,20.0
"San Marcos city, California",103595,6,68196,San Marcos city,California,"San Marcos city, California",34.825117,-114.598742,0.0,0.0
"San Mateo city, California",159275,6,68252,San Mateo city,California,"San Mateo city, California",37.7082421,-122.4590837,0.0,20.0
"San Ramon city, California",192291,6,68378,San Ramon city,California,"San Ramon city, California",38.1225006,-122.6041442,0.0,2.0
"Santa Ana city, California",79351,6,69000,Santa Ana city,California,"Santa Ana city, California",34.830556,-114.610411,0.0,0.0
"Santa Barbara city, California",104001,6,69070,Santa Barbara city,California,"Santa Barbara city, California",37.5918371,-122.0679182,0.0,6.0
"Santa Clara city, California",158614,6,69084,Santa Clara city,California,"Santa Clara city, California",37.356651,-121.961118,3.0,20.0
"Santa Clarita city, California",111236,6,69088,Santa Clarita city,California,"Santa Clarita city, California",34.4126598,-118.5537781159743,0.0,0.0
"Santa Maria city, California",81447,6,69196,Santa Maria city,California,"Santa Maria city, California",37.299443,-121.957248,4.0,20.0
"Santa Monica city, California",110030,6,70000,Santa Monica city,California,"Santa Monica city, California",34.0277713,-118.4527348,3.0,20.0
"Santa Rosa city, California",95403,6,70098,Santa Rosa city,California,"Santa Rosa city, California",35.134635,-117.980756,0.0,0.0
"Simi Valley city, California",113992,6,72016,Simi Valley city,California,"Simi Valley city, California",33.857356,-117.963082,0.0,20.0
"Stockton city, California",76231,6,75000,Stockton city,California,"Stockton city, California",37.945186,-121.284615,0.0,1.0
"Sunnyvale city, California",169781,6,77000,Sunnyvale city,California,"Sunnyvale city, California",37.428385,-122.02527581691044,3.0,20.0
"Temecula city, California",113168,6,78120,Temecula city,California,"Temecula city, California",33.50315,-117.124007,1.0,9.0
