NAME,S1903_C03_001E,state,place
"Bloomington city, Minnesota",87282,27,06616
"Brooklyn Park city, Minnesota",80275,27,07966
"Duluth city, Minnesota",59583,27,17000
"Eagan city, Minnesota",97838,27,17288
"Lakeville city, Minnesota",124452,27,35180
"Maple Grove city, Minnesota",111829,27,40166
"Minneapolis city, Minnesota",74473,27,43000
"Plymouth city, Minnesota",106858,27,51730
"Rochester city, Minnesota",81198,27,54880
"St. Cloud city, Minnesota",55803,27,56896
"St. Paul city, Minnesota",67725,27,58000
"Woodbury city, Minnesota",117201,27,71428
"Gulfport city, Mississippi",43047,28,29700
"Jackson city, Mississippi",40631,28,36000
"Columbia city, Missouri",58067,29,15670
"Independence city, Missouri",53082,29,35000
"Kansas City city, Missouri",62175,29,38000
"Lee's Summit city, Missouri",89140,29,41348
"O'Fallon city, Missouri",105240,29,54074
"St. Charles city, Missouri",85798,29,64082
"St. Joseph city, Missouri",53012,29,64550
"St. Louis city, Missouri",52847,29,65000
"Springfield city, Missouri",45400,29,70000
"Billings city, Montana",77711,30,06550
"Missoula city, Montana",59590,30,50200
"Lincoln city, Nebraska",62391,31,28000
"Omaha city, Nebraska",67450,31,37000
"Enterprise CDP, Nevada",90005,32,23770
"Henderson city, Nevada",81695,32,31900
"Las Vegas city, Nevada",68905,32,40000
"North Las Vegas city, Nevada",75459,32,51800
"Paradise CDP, Nevada",55578,32,54600
"Reno city, Nevada",72103,32,60600
"Sparks city, Nevada",81512,32,68400
"Spring Valley CDP, Nevada",66959,32,68585
"Sunrise Manor CDP, Nevada",58130,32,71400
"Manchester city, New Hampshire",74769,33,45140
"Nashua city, New Hampshire",96911,33,50260
"Bayonne city, New Jersey",79363,34,03580
"Camden city, New Jersey",37075,34,10000
"Clifton city, New Jersey",95147,34,13690
"East Orange city, New Jersey",43527,34,19390
"Elizabeth city, New Jersey",64113,34,21000
"Jersey City city, New Jersey",94080,34,36000
"Lakewood CDP, New Jersey",59460,34,38580
"Newark city, New Jersey",49688,34,51000
"Passaic city, New Jersey",51551,34,56550
"Paterson city, New Jersey",47373,34,57000
"Toms River CDP, New Jersey",92295,34,73110
"Trenton city, New Jersey",52508,34,74000
"Union City city, New Jersey",58020,34,74630
"Albuquerque city, New Mexico",64757,35,02000
"Las Cruces city, New Mexico",50372,35,39380
"Rio Rancho city, New Mexico",85374,35,63460
"Santa Fe city, New Mexico",68793,35,70500
"Albany city, New York",51386,36,01000
"Buffalo city, New York",48904,36,11000
"Cheektowaga CDP, New York",59167,36,15000
"Mount Vernon city, New York",68075,36,49121
"New Rochelle city, New York",102682,36,50617
"New York city, New York",74694,36,51000
"Rochester city, New York",43631,36,63000
"Schenectady city, New York",55465,36,65508
"Syracuse city, New York",45179,36,73000
"Yonkers city, New York",67456,36,84000
"Apex town, North Carolina",126583,37,01520
"Asheville city, North Carolina",64548,37,02140
"Cary town, North Carolina",125414,37,10740
"Charlotte city, North Carolina",74401,37,12000
"Concord city, North Carolina",77573,37,14100
"Durham city, North Carolina",78105,37,19000
"Fayetteville city, North Carolina",56685,37,22920
"Gastonia city, North Carolina",58745,37,25580
"Greensboro city, North Carolina",55120,37,28000
"Greenville city, North Carolina",50120,37,28080
"High Point city, North Carolina",63930,37,31400
"Jacksonville city, North Carolina",50930,37,34200
"Raleigh city, North Carolina",75424,37,55000
"Wilmington city, North Carolina",63835,37,74440
"Winston-Salem city, North Carolina",54195,37,75000
"Bismarck city, North Dakota",74247,38,07200
"Fargo city, North Dakota",59698,38,25700
"Akron city, Ohio",45534,39,01000
"Canton city, Ohio",40711,39,12000
"Cincinnati city, Ohio",48130,39,15000
"Cleveland city, Ohio",37351,39,16000
"Columbus city, Ohio",61727,39,18000
"Dayton city, Ohio",43780,39,21000
"Lorain city, Ohio",46592,39,44856
"Parma city, Ohio",65105,39,61000
"Toledo city, Ohio",47365,39,77000
"Broken Arrow city, Oklahoma",79075,40,09050
"Edmond city, Oklahoma",102896,40,23200
"Lawton city, Oklahoma",50969,40,41850
"Norman city, Oklahoma",61030,40,52500
"Oklahoma City city, Oklahoma",63713,40,55000
"Tulsa city, Oklahoma",54040,40,75000
"Beaverton city, Oregon",82916,41,05350
"Bend city, Oregon",88516,41,05800
"Eugene city, Oregon",61288,41,23850
"Gresham city, Oregon",71006,41,31250
"Hillsboro city, Oregon",103170,41,34100
"Medford city, Oregon",67303,41,47000
"Portland city, Oregon",81119,41,59000
"Salem city, Oregon",70220,41,64900
"Allentown city, Pennsylvania",55949,42,02000
"Bethlehem city, Pennsylvania",61786,42,06088
"Erie city, Pennsylvania",43839,42,24000
"Philadelphia city, Pennsylvania",56517,42,60000
"Pittsburgh city, Pennsylvania",63380,42,61000
"Reading city, Pennsylvania",43496,42,63624
"Scranton city, Pennsylvania",48279,42,69000
"Cranston city, Rhode Island",76892,44,19180
"Pawtucket city, Rhode Island",63173,44,54640
"Providence city, Rhode Island",64184,44,59000
"Warwick city, Rhode Island",77898,44,74300
"Charleston city, South Carolina",83103,45,13330
"Columbia city, South Carolina",56175,45,16000
"Greenville city, South Carolina",67340,45,30850
"Mount Pleasant town, South Carolina",114237,45,48535
"North Charleston city, South Carolina",62091,45,50875
"Rock Hill city, South Carolina",62589,45,61405
"Rapid City city, South Dakota",59397,46,52980
"Sioux Falls city, South Dakota",71246,46,59020
